PMC,type,data,mistral7b,phi4-mini38b,exaone3524b,hermes38b,yi6b,hermes33b,deepseek-r18b,nuextract38b,qwen34b,phi3538b,yi9b,gemma34b,granite332b,llama323b,qwen38b,granite338b,gemma22b,llama38b,exaone3578b,phi4-phi4-mini-reasoning38b,F,M,P,R,C,A,N
PMC9947222,research-article,The datasets generated during the current study are available from the corresponding author on reasonable request. Raw data via data deposit on Dryad at 10.5061/dryad.bg79cnpfb. Source data are provided with this paper.,A,A,M,F,A,A,M,A,F,A,M,F,P,A,F,F,A,M,A,A,5,4,1,0,0,10,0
PMC10558558,research-article,"All data supporting the findings of this study are available from the article and its Supplementary Information or available from the corresponding author. The source data underlying Fig. 2a–l , Figs. 3b , c , e , f , 4a , b , d , f , and 5b–h are provided as a Source Data file. The X-ray crystallographic coordinates for structures reported in this study have been deposited at the Cambridge Crystallographic Data Center (CCDC), under deposition numbers 2104355 ( f- Fu), 2205494 ( f- Th), 2205495 ( f -Th-H), 2000283 ( f -Ph), 2104356 ( Z -Fu), 2205497 ( Z -Th), 2205498 ( Z -Th-2H), 2104357 ( Z -Ph), 2205496 ( f -Th-2H) and 2284798 ( l -Th). These data can be obtained free of charge from The Cambridge Crystallographic Data Center via www.ccdc.cam.ac.uk/data_request/cif . Source data are provided with this paper.",P,P,P,P,P,F,M,F,P,M,P,F,P,F,F,F,F,F,P,F,9,2,9,0,0,0,0
PMC10624832,research-article,"NMR chemical shifts have been deposited in the Biological Magnetic Resonance Data Bank (BMRB) under the following accession codes: 51996 for DnaJB6 JD , 52098 for DNAJB6 JD-GF F100V, 51997 for DNAJB6 JD-GF A50V, 51998 for DNAJB6 JD-GF P96R, 52091 for DNAJB6 JD-GF F91I, and 52065 for DNAJB6 JD-GF F89I. The protein structure of DNAJB6 used for analysis in this study is available in the Protein Data Bank under accession code 6U3R . Data supporting the findings of this study are available in the Supplementary Information file. CS-Rosetta models of the DNAJB6 JD generated as part of this study are provided in Supplementary Data 1 . Source data are provided with this paper.",F,F,F,F,F,F,F,F,F,P,F,F,P,F,F,F,F,F,F,F,18,0,2,0,0,0,0
PMC10397198,research-article,"The authors declare that all other data supporting the findings of this study are available from the article and its Supplementary Information. Cartesian coordinates and energies of all investigated cage structures are provided in Supplementary Data 1 . The X-ray crystallographic coordinates for structures reported in this study have been deposited at the Cambridge Crystallographic Data Centre (CCDC), under deposition numbers 2201823, 2201825, 2203208 and 2203209. These data can be obtained free of charge from The Cambridge Crystallographic Data Centre via www.ccdc.cam.ac.uk/structures . Additional data are available from the authors upon request.",P,M,M,P,P,F,M,F,F,P,F,F,P,P,M,P,M,P,M,F,6,6,8,0,0,0,0
PMC10514035,research-article,The data used in this study are available at 10.6084/m9.figshare.21782201.,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,0,0,0,0,0,0
PMC10600211,research-article,The construct of AAV-hSyn-GFP (nls) will be deposited to Addgene for access. Original imaging is available upon request. Source data are provided in this paper.,P,M,M,A,M,P,M,A,P,M,M,A,M,A,M,F,M,A,M,P,1,10,4,0,0,5,0
PMC10589300,research-article,"Raw and processed data included in this study have been deposited in NCBI’s Gene Expression Omnibus and accessible through GEO SuperSeries accession number GSE242090 . Cell lines bulk RNA-seq data are available through GEO accession number GSE241733 . Bulk RNA-seq data of mouse rhabdoid tumor model are accessible through GEO accession number GSE241734 . Mouse gene expression array (Affymetrix®) from Han et al., 2016 are available in GEO under accession number GSE64019 . Single cell RNA-seq data from mouse model are deposited in GEO under accession code GSE241736 Single cell RNA-seq data from human primary ATRT are deposited in GEO under accession code GSE241737 Bulk RNA-seq data of human primary ATRT are accessible through GSE241831 accession code. Bulk RNA-seq data from Andrianteranagna et al., 2021 are stored in GEO under accession code GSE175891 . Bulk RNA-seq data from Leruste et al., 2019 are deposited in dbGaP database under accession code phs001915.v1.p1. DNA methylation array (Illumina Infinium MethylationEPIC) data are accessible through GSE242089 code. DNA methylation array data from Andrianteranagna et al., 2021 are available in GEO under accession number GSE175892 . Source data are provided with the manuscript, without restriction. Source data are provided with this paper.",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,0,0,0,0,0,0
PMC10499891,research-article,"All source and raw data generated in this study have been deposited in the Zenodo database ( https://zenodo.org/record/8185119 ; 10.5281/zenodo.8185119) with Open-Access under a Creative Commons Attribution 4.0 International license. The dorsal root ganglia RNA-seq data reanalyzed from ref. 67 , are deposited to the Sequence Read Archive under Bioproject PRJNA783035 . Source data are provided with this paper.",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,0,0,0,0,0,0
PMC10611730,research-article,"The bulk and single-cell RNA sequencing data generated in this study have been deposited in the Gene Expression Omnibus (GEO) database under accession codes GSE212298 , GSE214003 , and GSE213847 . The remaining data are available within the Article, Supplementary Information, or Source Data file. Source data are provided with this paper.",P,F,F,F,F,F,F,F,F,F,F,F,P,F,M,F,F,F,F,F,17,1,2,0,0,0,0
PMC10356854,research-article,"Source data and Python notebooks to reproduce all graphs are available at Zenodo 50 (10.5281/zenodo.7290071). Due to the large file size, the raw data that support the findings of this study will be provided by the corresponding author upon request within 3 weeks.",M,M,F,F,A,F,M,F,F,M,F,F,M,M,M,F,M,M,M,F,9,10,0,0,0,1,0
